Séance de Bourse,Open,Last,Plus haut,Plus bas,Cours Moy. Pondere,Nbre de Transactions,Quantity,Exch. Volume
05/03/2021,93,92,93,91.81,92.017,22,1297,119346.13
08/03/2021,92,91.82,92,91.82,91.913,38,2150,197613.44
09/03/2021,91.8,93,93,91.6,91.782,18,1017,93342.33
10/03/2021,92.01,92,92.01,92,92.003,13,215,19780.72
11/03/2021,93,94,94,93,93.495,21,945,88353.21
12/03/2021,94,95,95.5,94,94.826,31,745,70645.01
15/03/2021,95.01,96,96,95,95.422,44,2093,199717.6
16/03/2021,95.5,95,95.5,95,95.167,9,430,40922
17/03/2021,94,94.99,94.99,93.4,93.993,11,197,18516.59
18/03/2021,95.5,95.49,95.5,93.5,93.947,15,283,26587
19/03/2021,94,95.4,95.49,94,94.547,22,1454,137470.8
22/03/2021,95.5,98.26,98.26,95.5,96.911,56,1910,185100.63
23/03/2021,101.2,99.5,103.5,99,99.863,70,2710,270627.48
24/03/2021,99.51,104,104.5,99.5,102.226,55,2520,257608.56
25/03/2021,107.12,104,108.34,104,105.567,107,3963,418362.21
26/03/2021,103.05,105.79,105.79,103.05,104.921,37,2325,243942.48
29/03/2021,106,106,106.01,105.79,105.988,29,1160,122946.19
30/03/2021,106.98,106.6,107.1,106.5,106.972,30,1547,165485.09
31/03/2021,106.5,107,107,106.5,106.615,45,2755,293723.09
01/04/2021,107.5,108.75,108.75,107,107.597,38,1199,129008.32
02/04/2021,107.05,108.5,108.5,107.05,108.222,27,2498,270339.65
05/04/2021,107.61,110,110,107.61,109.255,81,6155,672465.44
06/04/2021,112.1,116.69,116.69,112.1,114.986,208,33679,3872623.23
07/04/2021,116.8,118,119.5,116.8,118.06,117,5370,633980.62
08/04/2021,118,116.99,118,116.8,116.966,63,3087,361074.36
12/04/2021,116,114.51,116,113.6,114.852,31,1487,170785.34
13/04/2021,115.3,115,115.3,114.71,115.023,29,1701,195653.6
14/04/2021,115,112.99,115,112,114.053,38,2408,274640.64
15/04/2021,112.99,113,113.2,112.5,113.011,29,608,68710.39
16/04/2021,112.91,112.5,113,112.5,112.934,27,866,97800.65
19/04/2021,112.5,111.8,112.5,111.5,112.036,45,1950,218471.07
20/04/2021,111.7,110.6,111.7,110.5,110.835,33,947,104960.65
21/04/2021,110.6,112,112,110.6,111.698,58,5196,580381.29
22/04/2021,115,114.4,115,114.4,114.488,12,848,97085.8
23/04/2021,114.5,114.5,114.5,114,114.404,18,3215,368030.8
26/04/2021,114.51,114.5,114.51,113.5,114.489,41,1947,222909.91
27/04/2021,114.5,114.9,114.9,114.05,114.534,47,1323,151528.69
28/04/2021,114.9,116,116.5,114.9,115.888,27,1442,167109.98
29/04/2021,116,118.95,118.99,116,117.339,40,1438,168733.03
30/04/2021,118.99,118.9,120,118,119.164,114,4627,551370.61
03/05/2021,118.2,121.74,121.74,118.2,119.98,85,3707,444764.13
04/05/2021,62.69,64.57,64.57,62.69,63.621,219,13002,827195.51
05/05/2021,67.09,64,67.09,62,64.836,252,21465,1391705.64
06/05/2021,64,64,64,63,63.614,114,8476,539191.89
07/05/2021,63.8,64,64.6,63.8,64.004,131,36583,2341346.36
10/05/2021,60,61.3,61.3,59.49,60.799,156,14444,878181.34
11/05/2021,61.31,63,63,61.3,62.709,124,7337,460094.35
17/05/2021,63.14,63.97,64.3,63.14,63.704,116,6775,431596.23
18/05/2021,63.85,62.97,63.85,62.5,62.792,123,5653,354963.46
19/05/2021,62.97,62.45,62.97,62.26,62.566,66,8677,542889.02
20/05/2021,62.01,62.38,62.38,61.51,61.911,72,5296,327879.34
21/05/2021,62.4,62.5,62.9,62.38,62.485,66,5117,319734.28
24/05/2021,62.01,62.1,62.5,62,62.328,62,6915,431000.19
25/05/2021,62,61.9,62.1,61.56,61.958,77,7587,470074.06
26/05/2021,61.9,61.52,61.9,61.5,61.555,44,3331,205039.09
27/05/2021,61,61.69,61.7,61,61.439,62,5172,317764.54
28/05/2021,61.89,62.78,62.78,61.7,62.472,65,41389,2585637.01
31/05/2021,62.77,61.83,62.77,61.8,62.075,47,4629,287344.81
01/06/2021,62.45,62.6,62.6,62.45,62.512,33,2236,139777.1
02/06/2021,62.05,62,62.4,62,62.006,43,2913,180624.1
03/06/2021,61.6,61.55,62,60.14,60.675,34,7856,476663.73
04/06/2021,61.7,62.01,62.3,61.7,62.006,24,1798,111485.95
07/06/2021,62.1,62.55,62.55,62,62.211,25,1067,66378.74
08/06/2021,62.05,62.06,62.21,62,62.05,37,18362,1139357.01
09/06/2021,62.06,62.18,62.65,62.05,62.185,11,590,36689.37
10/06/2021,62.65,62.38,62.65,62.18,62.333,15,674,42012.35
11/06/2021,62.2,62.3,62.4,62.2,62.28,11,937,58356.25
14/06/2021,62.3,62.49,62.6,62.2,62.31,20,521,32463.4
15/06/2021,62.5,62.5,62.5,62.2,62.442,25,1571,98097.1
16/06/2021,62.5,62.5,62.5,62.5,62.5,8,310,19375
17/06/2021,62.48,62.49,62.49,62.31,62.469,25,5896,368319.96
18/06/2021,62.32,62.4,62.49,62.32,62.366,12,306,19083.97
21/06/2021,62.32,62.4,62.7,62.3,62.35,16,1028,64095.4
22/06/2021,62.65,62.41,62.67,62.41,62.618,23,2490,155919.14
23/06/2021,62.41,62.41,62.5,62.41,62.411,47,4737,295641.78
24/06/2021,62.4,62.45,62.5,62.4,62.422,29,2372,148064.58
25/06/2021,62.44,62.55,62.59,62.44,62.464,22,654,40851.76
28/06/2021,62.5,62.41,62.5,62.4,62.407,25,5308,331257.4
29/06/2021,62.41,62.5,62.5,62.41,62.482,38,7074,442000.09
30/06/2021,62.42,62.5,62.5,62.4,62.418,6,819,51120.72
01/07/2021,62.5,62.5,62.5,62.4,62.46,16,733,45783.1
02/07/2021,62.5,62.4,62.5,62.4,62.47,5,142,8870.8
05/07/2021,62.4,62.4,62.4,62.4,62.4,15,209,13041.6
06/07/2021,62.4,62.5,62.5,62.4,62.497,12,5045,315295.27
07/07/2021,62.5,62.7,62.7,62.5,62.519,10,2802,175178.05
08/07/2021,62.9,62.5,63.3,62.5,62.561,36,2253,140950
09/07/2021,62.5,62.5,62.5,62.41,62.488,10,1458,91107.63
12/07/2021,62.5,62.5,62.7,62.4,62.487,21,3815,238387.9
13/07/2021,62.5,62.5,62.5,62.41,62.449,15,1784,111409.55
14/07/2021,62.5,62.3,62.5,62,62.258,25,3222,200595.71
15/07/2021,62.1,62.2,62.2,62,62.011,30,2699,167368.65
16/07/2021,62.2,62.5,62.9,62.2,62.419,11,209,13045.51
19/07/2021,62.2,62.5,62.5,62,62.272,14,768,47824.78
22/07/2021,62.9,62.5,62.9,62.5,62.689,2,57,3573.3
23/07/2021,62.11,62.5,62.5,62.11,62.121,14,1111,69016.26
26/07/2021,62.15,62.49,62.7,62.15,62.153,28,2032,126295.33
27/07/2021,62.49,62.1,62.49,62.1,62.412,3,125,7801.5
