Date Time,Open,High,Low,Close,Volume,Adj Close
02/05/2016,7.37,7.55,7.37,7.37,2294,7.37
03/05/2016,7.37,7.55,7.15,7.3,834,7.3
04/05/2016,7.15,7.3,7.15,7.3,617,7.3
05/05/2016,7.29,7.29,7.08,7.27,1226,7.27
06/05/2016,7.26,7.27,7.09,7.25,1093,7.25
09/05/2016,7.28,7.49,7.28,7.45,2657,7.45
10/05/2016,7.27,7.43,7.23,7.4,1359,7.4
11/05/2016,7.07,7.4,7.07,7.24,7877,7.24
12/05/2016,7.22,7.24,7.1,7.1,3372,7.1
13/05/2016,7.01,7.15,6.9,7.0,2445,7.0
16/05/2016,7.16,7.21,7.0,7.19,836,7.19
17/05/2016,7.0,7.0,7.0,7.0,200,7.0
18/05/2016,7.0,7.0,6.79,6.79,1976,6.79
19/05/2016,6.6,6.79,6.59,6.79,1621,6.79
20/05/2016,6.9,6.9,6.7,6.79,2820,6.79
23/05/2016,6.7,6.77,6.59,6.7,2532,6.7
24/05/2016,6.5,6.5,6.32,6.32,3393,6.32
25/05/2016,6.5,6.69,6.32,6.53,3952,6.53
26/05/2016,6.68,6.92,6.53,6.92,4035,6.92
27/05/2016,7.23,7.34,7.22,7.34,9599,7.34
30/05/2016,7.35,7.54,7.35,7.49,7138,7.49
31/05/2016,7.49,7.93,7.49,7.93,11748,7.93
01/06/2016,8.0,8.41,7.79,8.41,9292,8.41
02/06/2016,8.45,8.6,8.3,8.3,22613,8.3
03/06/2016,8.39,8.39,8.29,8.29,10002,8.29
06/06/2016,8.28,8.3,8.28,8.29,1455,8.29
07/06/2016,8.0,8.2,7.92,7.92,1024,7.92
08/06/2016,7.72,7.92,7.72,7.9,996,7.9
09/06/2016,7.9,7.92,7.9,7.92,902,7.92
10/06/2016,7.9,7.9,7.86,7.86,430,7.86
13/06/2016,7.86,7.86,7.86,7.86,200,7.86
14/06/2016,7.68,7.68,7.65,7.65,200,7.65
15/06/2016,7.85,7.85,7.7,7.84,1523,7.84
16/06/2016,7.86,7.86,7.63,7.63,1316,7.63
17/06/2016,7.63,7.63,7.41,7.63,1077,7.63
20/06/2016,0.0,0.0,0.0,0.0,0,0.0
21/06/2016,7.42,7.64,7.42,7.64,680,7.64
22/06/2016,7.64,7.86,7.64,7.86,770,7.86
23/06/2016,0.0,0.0,0.0,0.0,0,0.0
24/06/2016,0.0,0.0,0.0,0.0,0,0.0
27/06/2016,7.6,7.6,7.51,7.51,622,7.51
28/06/2016,7.18,7.6,7.18,7.5,922,7.5
29/06/2016,7.17,7.5,7.17,7.5,471,7.5
30/06/2016,0.0,0.0,0.0,0.0,0,0.0
01/07/2016,7.49,7.72,7.28,7.72,708,7.72
04/07/2016,7.79,7.79,7.79,7.79,5,7.79
08/07/2016,7.56,7.78,7.56,7.78,12,7.78
11/07/2016,7.55,8.0,7.55,7.55,1132,7.55
12/07/2016,7.33,7.33,7.33,7.33,37,7.33
13/07/2016,7.25,7.25,7.24,7.25,1130,7.25
14/07/2016,7.25,7.33,7.25,7.33,121,7.33
15/07/2016,7.13,7.13,7.13,7.13,5,7.13
18/07/2016,7.05,7.3,6.92,7.3,321,7.3
19/07/2016,7.09,7.09,7.09,7.09,568,7.09
20/07/2016,7.29,7.5,7.29,7.48,1504,7.48
21/07/2016,0.0,0.0,0.0,0.0,0,0.0
22/07/2016,7.4,7.4,7.4,7.4,1250,7.4
26/07/2016,7.33,7.45,7.18,7.45,1250,7.45
27/07/2016,7.45,7.45,7.01,7.45,460,7.45
28/07/2016,0.0,0.0,0.0,0.0,0,0.0
29/07/2016,7.4,7.4,7.4,7.4,10,7.4
01/08/2016,0.0,0.0,0.0,0.0,0,0.0
02/08/2016,7.35,7.35,7.35,7.35,30,7.35
03/08/2016,7.16,7.16,7.16,7.16,5,7.16
04/08/2016,7.34,7.35,7.34,7.35,390,7.35
05/08/2016,7.35,7.35,7.35,7.35,50,7.35
08/08/2016,7.34,7.34,7.29,7.29,3442,7.29
09/08/2016,6.97,7.3,6.97,7.3,995,7.3
10/08/2016,7.1,7.2,6.9,6.92,824,6.92
11/08/2016,6.93,6.93,6.73,6.91,2569,6.91
12/08/2016,7.1,7.1,6.73,6.73,1280,6.73
15/08/2016,6.73,6.93,6.73,6.93,2026,6.93
16/08/2016,7.13,7.13,7.12,7.13,216,7.13
17/08/2016,0.0,0.0,0.0,0.0,0,0.0
18/08/2016,7.29,7.29,7.26,7.26,153,7.26
19/08/2016,7.29,7.4,7.29,7.35,1518,7.35
22/08/2016,7.5,7.5,7.35,7.35,815,7.35
23/08/2016,0.0,0.0,0.0,0.0,0,0.0
24/08/2016,7.15,7.16,7.15,7.16,80,7.16
25/08/2016,7.1,7.37,7.1,7.1,338,7.1
26/08/2016,7.31,7.31,7.31,7.31,7,7.31
29/08/2016,7.31,7.31,7.31,7.31,5,7.31
30/08/2016,0.0,0.0,0.0,0.0,0,0.0
31/08/2016,0.0,0.0,0.0,0.0,0,0.0
01/09/2016,7.5,7.5,7.28,7.5,53,7.5
02/09/2016,0.0,0.0,0.0,0.0,0,0.0
05/09/2016,0.0,0.0,0.0,0.0,0,0.0
06/09/2016,7.28,7.28,7.28,7.28,217,7.28
07/09/2016,0.0,0.0,0.0,0.0,0,0.0
08/09/2016,7.07,7.07,7.07,7.07,13,7.07
09/09/2016,6.87,7.27,6.87,7.27,25,7.27
14/09/2016,0.0,0.0,0.0,0.0,0,0.0
15/09/2016,0.0,0.0,0.0,0.0,0,0.0
16/09/2016,7.07,7.07,7.07,7.07,67,7.07
19/09/2016,7.07,7.07,7.07,7.07,1380,7.07
20/09/2016,0.0,0.0,0.0,0.0,0,0.0
21/09/2016,7.0,7.28,7.0,7.28,2077,7.28
22/09/2016,7.48,7.48,7.48,7.48,155,7.48
23/09/2016,7.49,7.5,7.48,7.48,1490,7.48
26/09/2016,7.48,7.48,7.48,7.48,530,7.48
27/09/2016,7.48,7.48,7.48,7.48,804,7.48
28/09/2016,7.49,7.49,7.48,7.48,1041,7.48
29/09/2016,7.3,7.39,7.26,7.39,2302,7.39
30/09/2016,7.29,7.39,7.29,7.35,357,7.35
04/10/2016,7.35,7.35,7.15,7.2,667,7.2
05/10/2016,7.11,7.3,7.1,7.1,1293,7.1
06/10/2016,7.07,7.41,6.9,7.41,6458,7.41
07/10/2016,7.5,7.69,7.5,7.69,2865,7.69
10/10/2016,7.7,8.04,7.68,8.04,4100,8.04
11/10/2016,8.28,8.52,8.06,8.08,23143,8.08
12/10/2016,8.14,8.14,7.9,8.04,2577,8.04
13/10/2016,8.0,8.24,7.85,7.9,6977,7.9
