Date Time,Open,High,Low,Close,Volume,Adj Close
21/06/2016,49.0,49.4,47.7,48.78,11821,48.78
22/06/2016,48.78,48.78,48.35,48.4,8953,48.4
23/06/2016,48.22,48.22,46.8,47.8,18656,47.8
24/06/2016,46.9,46.9,45.5,45.5,7337,45.5
27/06/2016,0.0,0.0,0.0,0.0,0,0.0
28/06/2016,43.1,43.11,42.16,42.16,18873,42.16
29/06/2016,0.0,0.0,0.0,0.0,0,0.0
30/06/2016,38.46,42.08,38.46,42.0,55535,42.0
01/07/2016,44.0,45.0,42.73,43.78,33946,43.78
04/07/2016,43.79,43.79,42.73,43.0,3962,43.0
08/07/2016,43.0,43.54,43.0,43.5,3065,43.5
11/07/2016,43.5,43.79,43.5,43.79,1945,43.79
12/07/2016,43.8,44.79,43.8,44.64,5107,44.64
13/07/2016,44.6,45.88,44.0,45.49,17595,45.49
14/07/2016,45.87,45.87,45.11,45.5,6141,45.5
15/07/2016,45.6,46.25,45.0,45.0,49606,45.0
18/07/2016,46.3,46.3,45.4,45.4,3777,45.4
19/07/2016,45.35,45.35,44.9,44.99,1841,44.99
20/07/2016,45.2,45.2,44.2,44.69,5177,44.69
21/07/2016,44.99,44.99,44.0,44.5,108880,44.5
22/07/2016,44.5,44.5,44.0,44.0,2597,44.0
26/07/2016,43.9,43.9,43.0,43.0,3398,43.0
27/07/2016,42.68,43.0,42.0,42.74,13083,42.74
28/07/2016,42.2,43.0,42.0,42.5,3542,42.5
29/07/2016,42.5,42.95,42.5,42.5,1272,42.5
01/08/2016,42.0,42.95,41.6,42.4,2472,42.4
02/08/2016,42.4,42.45,41.13,41.5,41914,41.5
03/08/2016,41.5,42.19,41.5,41.5,2357,41.5
04/08/2016,41.13,42.09,41.13,42.09,2830,42.09
05/08/2016,42.09,42.7,42.09,42.5,4621,42.5
08/08/2016,42.1,42.5,42.05,42.5,12986,42.5
09/08/2016,42.5,42.5,42.01,42.01,2155,42.01
10/08/2016,42.01,42.5,42.01,42.48,4401,42.48
11/08/2016,42.48,42.48,42.12,42.4,4620,42.4
12/08/2016,42.4,42.4,42.0,42.35,7394,42.35
15/08/2016,42.3,42.48,42.2,42.48,8313,42.48
16/08/2016,42.25,42.43,42.2,42.43,1542,42.43
17/08/2016,42.25,42.48,42.25,42.48,309,42.48
18/08/2016,42.48,42.48,42.4,42.4,169,42.4
19/08/2016,42.4,43.5,42.4,43.39,21916,43.39
22/08/2016,43.0,44.29,42.75,43.75,13408,43.75
23/08/2016,43.95,44.48,43.5,43.75,6308,43.75
24/08/2016,43.98,43.98,43.7,43.7,2832,43.7
25/08/2016,43.7,43.8,43.5,43.5,3773,43.5
26/08/2016,43.8,43.98,43.7,43.98,3356,43.98
29/08/2016,43.5,43.98,43.5,43.98,607,43.98
30/08/2016,43.98,43.98,43.6,43.98,1953,43.98
31/08/2016,44.0,44.0,43.62,44.0,9990,44.0
01/09/2016,44.0,44.0,43.1,43.87,1938,43.87
02/09/2016,43.87,43.87,43.45,43.48,5620,43.48
05/09/2016,43.4,43.4,42.51,43.25,2386,43.25
06/09/2016,42.59,43.22,42.59,43.1,1871,43.1
07/09/2016,43.16,43.49,43.1,43.43,1525,43.43
08/09/2016,43.4,43.5,43.25,43.43,6522,43.43
09/09/2016,43.45,43.85,43.3,43.5,1008,43.5
14/09/2016,0.0,0.0,0.0,0.0,0,0.0
15/09/2016,43.7,43.7,42.98,43.59,6164,43.59
16/09/2016,43.21,43.5,43.02,43.21,871,43.21
19/09/2016,43.21,43.21,43.0,43.2,4034,43.2
20/09/2016,43.0,43.0,42.9,43.0,7562,43.0
21/09/2016,43.0,43.0,42.71,43.0,1805,43.0
22/09/2016,42.99,42.99,42.9,42.98,1430,42.98
23/09/2016,42.94,42.95,42.5,42.94,2535,42.94
26/09/2016,43.0,43.0,42.55,42.8,1385,42.8
27/09/2016,42.51,42.52,42.18,42.5,3400,42.5
28/09/2016,42.19,42.4,41.9,42.0,3367,42.0
29/09/2016,41.9,41.9,41.0,41.5,2568,41.5
30/09/2016,41.99,42.0,41.26,41.95,1023,41.95
04/10/2016,41.94,42.4,41.11,41.94,2909,41.94
05/10/2016,42.0,42.0,41.54,41.95,3274,41.95
06/10/2016,41.95,41.95,41.95,41.95,20,41.95
07/10/2016,41.9,41.9,41.21,41.21,5094,41.21
10/10/2016,41.3,42.7,41.3,42.39,20548,42.39
11/10/2016,42.0,42.5,41.7,41.7,21160,41.7
12/10/2016,41.8,42.35,41.72,41.9,1528,41.9
13/10/2016,41.8,41.9,41.3,41.31,2743,41.31
14/10/2016,41.7,42.3,41.3,42.27,6035,42.27
17/10/2016,42.27,42.27,41.41,42.25,1106,42.25
18/10/2016,42.27,42.27,41.9,41.9,12,41.9
19/10/2016,41.9,41.98,41.37,41.7,2742,41.7
20/10/2016,41.5,41.5,41.2,41.5,1912,41.5
21/10/2016,41.8,41.8,41.0,41.39,3199,41.39
24/10/2016,41.65,41.65,41.0,41.03,1694,41.03
25/10/2016,41.03,41.1,40.11,40.9,5742,40.9
26/10/2016,40.5,41.2,39.68,40.9,18818,40.9
27/10/2016,40.88,40.88,40.0,40.0,12495,40.0
28/10/2016,40.0,41.2,40.0,41.15,10204,41.15
31/10/2016,41.17,41.9,40.72,41.75,8222,41.75
01/11/2016,41.5,42.74,41.22,42.5,19175,42.5
02/11/2016,42.74,43.48,42.5,43.45,24334,43.45
03/11/2016,43.7,44.29,43.5,44.0,13697,44.0
04/11/2016,44.15,44.15,43.5,43.5,2803,43.5
07/11/2016,43.2,43.7,43.02,43.63,1885,43.63
08/11/2016,43.65,43.65,42.5,43.5,557,43.5
09/11/2016,43.48,43.48,42.5,42.99,2416,42.99
10/11/2016,42.2,42.96,42.2,42.87,9366,42.87
11/11/2016,42.5,42.89,42.15,42.48,3864,42.48
14/11/2016,42.01,42.48,42.01,42.07,3182,42.07
15/11/2016,42.49,42.49,42.1,42.11,9666,42.11
16/11/2016,42.11,42.11,41.82,42.09,6937,42.09
17/11/2016,42.0,42.3,42.0,42.06,4914,42.06
18/11/2016,42.5,43.0,42.3,42.86,7882,42.86
21/11/2016,42.86,43.0,41.58,42.79,34312,42.79
22/11/2016,42.79,43.29,42.5,42.95,4940,42.95
23/11/2016,43.25,43.25,42.36,42.95,7072,42.95
24/11/2016,42.95,42.95,42.2,42.6,5271,42.6
25/11/2016,42.5,42.8,42.5,42.55,21725,42.55
28/11/2016,42.55,43.0,42.55,42.98,2137,42.98
29/11/2016,42.97,43.49,42.6,43.0,8269,43.0
30/11/2016,43.0,44.0,43.0,43.89,8236,43.89
01/12/2016,43.89,44.0,43.08,43.96,8889,43.96
02/12/2016,43.7,43.9,43.3,43.9,2613,43.9
05/12/2016,43.95,43.95,43.0,43.03,4950,43.03
06/12/2016,43.79,43.79,42.81,42.81,8095,42.81
07/12/2016,42.9,42.9,42.1,42.64,9335,42.64
08/12/2016,42.54,42.65,42.0,42.35,8302,42.35
09/12/2016,42.0,42.5,42.0,42.5,5079,42.5
13/12/2016,42.5,42.5,42.0,42.4,959,42.4
